accession,read_filtering,virus_id,n_reads,covered_bases
CRR710824,all mapped reads,OM451123.1,0,61
CRR710824,all mapped reads,MT114540.1,1,61
CRR710824,all mapped reads,MT114541.1,0,0
CRR710825,mapping quality filtered,OM451122.1,1,71
CRR710825,mapping quality filtered,OM451123.1,0,0
CRR710825,mapping quality filtered,MT114540.1,0,0
CRR710825,mapping quality filtered,MT114541.1,0,0
CRR710825,all mapped reads,OM451122.1,1,71
CRR710825,all mapped reads,OM451123.1,0,93
CRR710825,all mapped reads,MT114540.1,2,179
CRR710825,all mapped reads,MT114541.1,0,179
CRR710826,mapping quality filtered,OM451122.1,0,0
CRR710826,mapping quality filtered,OM451123.1,0,0
CRR710826,mapping quality filtered,MT114540.1,1,93
CRR710826,mapping quality filtered,MT114541.1,0,0
CRR710826,all mapped reads,OM451122.1,0,0
CRR710826,all mapped reads,OM451123.1,0,0
CRR710826,all mapped reads,MT114540.1,3,279
CRR710826,all mapped reads,MT114541.1,0,186
CRR710827,mapping quality filtered,OM451122.1,2,186
CRR710827,mapping quality filtered,OM451123.1,2,127
CRR710827,mapping quality filtered,MT114540.1,0,0
CRR710827,mapping quality filtered,MT114541.1,0,48
CRR710827,all mapped reads,OM451122.1,2,313
CRR710827,all mapped reads,OM451123.1,2,313
CRR710827,all mapped reads,MT114540.1,0,0
CRR710827,all mapped reads,MT114541.1,0,327
CRR710828,mapping quality filtered,OM451122.1,0,0
CRR710828,mapping quality filtered,OM451123.1,0,0
CRR710828,mapping quality filtered,MT114540.1,0,0
CRR710828,mapping quality filtered,MT114541.1,0,0
CRR710828,all mapped reads,OM451122.1,2,432
CRR710828,all mapped reads,OM451123.1,0,422
CRR710828,all mapped reads,MT114540.1,4,423
CRR710828,all mapped reads,MT114541.1,0,432
CRR710829,mapping quality filtered,OM451122.1,0,0
CRR710829,mapping quality filtered,OM451123.1,2,91
CRR710829,mapping quality filtered,MT114540.1,0,0
CRR710829,mapping quality filtered,MT114541.1,0,0
CRR710829,all mapped reads,OM451122.1,0,0
CRR710829,all mapped reads,OM451123.1,2,91
CRR710829,all mapped reads,MT114540.1,0,0
CRR710829,all mapped reads,MT114541.1,0,0
CRR710830,mapping quality filtered,OM451122.1,0,0
CRR710830,mapping quality filtered,OM451123.1,0,0
CRR710830,mapping quality filtered,MT114540.1,2,186
CRR710830,mapping quality filtered,MT114541.1,1,94
CRR710830,all mapped reads,OM451122.1,0,438
CRR710830,all mapped reads,OM451123.1,0,1212
CRR710830,all mapped reads,MT114540.1,8,1443
CRR710830,all mapped reads,MT114541.1,11,1485
CRR710831,mapping quality filtered,OM451122.1,0,0
CRR710831,mapping quality filtered,OM451123.1,0,0
CRR710831,mapping quality filtered,MT114540.1,2,186
CRR710831,mapping quality filtered,MT114541.1,0,0
CRR710831,all mapped reads,OM451122.1,0,245
CRR710831,all mapped reads,OM451123.1,0,430
CRR710831,all mapped reads,MT114540.1,6,432
CRR710831,all mapped reads,MT114541.1,0,432
CRR710832,mapping quality filtered,OM451122.1,0,0
CRR710832,mapping quality filtered,OM451123.1,0,0
CRR710832,mapping quality filtered,MT114540.1,0,0
CRR710832,mapping quality filtered,MT114541.1,0,0
CRR710832,all mapped reads,OM451122.1,0,0
CRR710832,all mapped reads,OM451123.1,0,0
CRR710832,all mapped reads,MT114540.1,0,0
CRR710832,all mapped reads,MT114541.1,0,0
CRR710833,mapping quality filtered,OM451122.1,0,0
CRR710833,mapping quality filtered,OM451123.1,0,0
CRR710833,mapping quality filtered,MT114540.1,0,0
CRR710833,mapping quality filtered,MT114541.1,0,0
CRR710833,all mapped reads,OM451122.1,0,0
CRR710833,all mapped reads,OM451123.1,0,0
CRR710833,all mapped reads,MT114540.1,0,0
CRR710833,all mapped reads,MT114541.1,0,0
CRR710834,mapping quality filtered,OM451122.1,0,0
CRR710834,mapping quality filtered,OM451123.1,0,0
CRR710834,mapping quality filtered,MT114540.1,0,0
CRR710834,mapping quality filtered,MT114541.1,0,0
CRR710834,all mapped reads,OM451122.1,0,0
CRR710834,all mapped reads,OM451123.1,0,0
CRR710834,all mapped reads,MT114540.1,0,0
CRR710834,all mapped reads,MT114541.1,0,0
CRR710835,mapping quality filtered,OM451122.1,0,0
CRR710835,mapping quality filtered,OM451123.1,0,0
CRR710835,mapping quality filtered,MT114540.1,2,181
CRR710835,mapping quality filtered,MT114541.1,0,0
CRR710835,all mapped reads,OM451122.1,0,0
CRR710835,all mapped reads,OM451123.1,0,0
CRR710835,all mapped reads,MT114540.1,2,181
CRR710835,all mapped reads,MT114541.1,0,181
CRR711143,mapping quality filtered,OM451122.1,0,0
CRR711143,mapping quality filtered,OM451123.1,0,0
CRR711143,mapping quality filtered,MT114540.1,0,0
CRR711143,mapping quality filtered,MT114541.1,0,0
CRR711143,all mapped reads,OM451122.1,0,0
CRR711143,all mapped reads,OM451123.1,0,0
CRR711143,all mapped reads,MT114540.1,0,0
CRR711143,all mapped reads,MT114541.1,0,0
CRR710836,mapping quality filtered,OM451122.1,0,0
CRR710836,mapping quality filtered,OM451123.1,6,415
CRR710836,mapping quality filtered,MT114540.1,3,270
CRR710836,mapping quality filtered,MT114541.1,2,188
CRR710836,all mapped reads,OM451122.1,0,615
CRR710836,all mapped reads,OM451123.1,8,785
CRR710836,all mapped reads,MT114540.1,3,879
CRR710836,all mapped reads,MT114541.1,3,1065
CRR710837,mapping quality filtered,OM451122.1,2,74
CRR710837,mapping quality filtered,OM451123.1,1,93
CRR710837,mapping quality filtered,MT114540.1,0,0
CRR710837,mapping quality filtered,MT114541.1,4,349
CRR710837,all mapped reads,OM451122.1,2,744
CRR710837,all mapped reads,OM451123.1,2,653
CRR710837,all mapped reads,MT114540.1,0,608
CRR710837,all mapped reads,MT114541.1,8,797
CRR710838,mapping quality filtered,OM451122.1,1,93
CRR710838,mapping quality filtered,OM451123.1,0,0
CRR710838,mapping quality filtered,MT114540.1,1,76
CRR710838,mapping quality filtered,MT114541.1,6,439
CRR710838,all mapped reads,OM451122.1,5,512
CRR710838,all mapped reads,OM451123.1,0,330
CRR710838,all mapped reads,MT114540.1,1,582
CRR710838,all mapped reads,MT114541.1,6,752
CRR710839,mapping quality filtered,OM451122.1,0,0
CRR710839,mapping quality filtered,OM451123.1,2,186
CRR710839,mapping quality filtered,MT114540.1,2,111
CRR710839,mapping quality filtered,MT114541.1,0,0
CRR710839,all mapped reads,OM451122.1,0,178
CRR710839,all mapped reads,OM451123.1,2,373
CRR710839,all mapped reads,MT114540.1,4,484
CRR710839,all mapped reads,MT114541.1,0,391
CRR710840,mapping quality filtered,OM451122.1,0,0
CRR710840,mapping quality filtered,OM451123.1,0,0
CRR710840,mapping quality filtered,MT114540.1,0,0
CRR710840,mapping quality filtered,MT114541.1,0,0
CRR710840,all mapped reads,OM451122.1,0,0
CRR710840,all mapped reads,OM451123.1,0,0
CRR710840,all mapped reads,MT114540.1,0,0
CRR710840,all mapped reads,MT114541.1,0,0
CRR710841,mapping quality filtered,OM451122.1,0,0
CRR710841,mapping quality filtered,OM451123.1,0,0
CRR710841,mapping quality filtered,MT114540.1,0,0
CRR710841,mapping quality filtered,MT114541.1,2,75
CRR710841,all mapped reads,OM451122.1,0,0
CRR710841,all mapped reads,OM451123.1,0,75
CRR710841,all mapped reads,MT114540.1,0,75
CRR710841,all mapped reads,MT114541.1,2,75
CRR710842,mapping quality filtered,OM451122.1,0,0
CRR710842,mapping quality filtered,OM451123.1,0,0
CRR710842,mapping quality filtered,MT114540.1,0,0
CRR710842,mapping quality filtered,MT114541.1,0,0
CRR710842,all mapped reads,OM451122.1,0,0
CRR710842,all mapped reads,OM451123.1,0,0
CRR710842,all mapped reads,MT114540.1,0,0
CRR710842,all mapped reads,MT114541.1,0,0
CRR710843,mapping quality filtered,OM451122.1,0,0
CRR710843,mapping quality filtered,OM451123.1,0,0
CRR710843,mapping quality filtered,MT114540.1,0,0
CRR710843,mapping quality filtered,MT114541.1,0,0
CRR710843,all mapped reads,OM451122.1,0,0
CRR710843,all mapped reads,OM451123.1,0,0
CRR710843,all mapped reads,MT114540.1,0,0
CRR710843,all mapped reads,MT114541.1,0,0
CRR710844,mapping quality filtered,OM451122.1,0,0
CRR710844,mapping quality filtered,OM451123.1,3,280
CRR710844,mapping quality filtered,MT114540.1,0,0
CRR710844,mapping quality filtered,MT114541.1,2,186
CRR710844,all mapped reads,OM451122.1,1,442
CRR710844,all mapped reads,OM451123.1,3,373
CRR710844,all mapped reads,MT114540.1,0,238
CRR710844,all mapped reads,MT114541.1,2,373
CRR710845,mapping quality filtered,OM451122.1,0,0
CRR710845,mapping quality filtered,OM451123.1,0,0
CRR710845,mapping quality filtered,MT114540.1,2,88
CRR710845,mapping quality filtered,MT114541.1,0,0
CRR710845,all mapped reads,OM451122.1,0,88
CRR710845,all mapped reads,OM451123.1,0,0
CRR710845,all mapped reads,MT114540.1,2,88
CRR710845,all mapped reads,MT114541.1,0,88
CRR710846,mapping quality filtered,OM451122.1,0,0
CRR710846,mapping quality filtered,OM451123.1,0,0
CRR710846,mapping quality filtered,MT114540.1,0,0
CRR710846,mapping quality filtered,MT114541.1,0,0
CRR710846,all mapped reads,OM451122.1,0,0
CRR710846,all mapped reads,OM451123.1,0,0
CRR710846,all mapped reads,MT114540.1,0,0
CRR710846,all mapped reads,MT114541.1,0,0
CRR710847,mapping quality filtered,OM451122.1,0,0
CRR710847,mapping quality filtered,OM451123.1,1,93
CRR710847,mapping quality filtered,MT114540.1,0,0
CRR710847,mapping quality filtered,MT114541.1,0,0
CRR710847,all mapped reads,OM451122.1,1,163
CRR710847,all mapped reads,OM451123.1,1,93
CRR710847,all mapped reads,MT114540.1,0,93
CRR710847,all mapped reads,MT114541.1,0,140
CRR710848,mapping quality filtered,OM451122.1,0,0
CRR710848,mapping quality filtered,OM451123.1,0,0
CRR710848,mapping quality filtered,MT114540.1,0,0
CRR710848,mapping quality filtered,MT114541.1,0,0
CRR710848,all mapped reads,OM451122.1,0,0
CRR710848,all mapped reads,OM451123.1,0,0
CRR710848,all mapped reads,MT114540.1,0,0
CRR710848,all mapped reads,MT114541.1,0,0
CRR710849,mapping quality filtered,OM451122.1,0,0
CRR710849,mapping quality filtered,OM451123.1,0,0
CRR710849,mapping quality filtered,MT114540.1,0,0
CRR710849,mapping quality filtered,MT114541.1,0,0
CRR710849,all mapped reads,OM451122.1,0,0
CRR710849,all mapped reads,OM451123.1,0,0
CRR710849,all mapped reads,MT114540.1,0,0
CRR710849,all mapped reads,MT114541.1,0,0
CRR710850,mapping quality filtered,OM451122.1,0,0
CRR710850,mapping quality filtered,OM451123.1,0,0
CRR710850,mapping quality filtered,MT114540.1,0,0
CRR710850,mapping quality filtered,MT114541.1,0,0
CRR710850,all mapped reads,OM451122.1,0,0
CRR710850,all mapped reads,OM451123.1,0,0
CRR710850,all mapped reads,MT114540.1,0,0
CRR710850,all mapped reads,MT114541.1,0,0
CRR710851,mapping quality filtered,OM451122.1,0,0
CRR710851,mapping quality filtered,OM451123.1,0,0
CRR710851,mapping quality filtered,MT114540.1,0,0
CRR710851,mapping quality filtered,MT114541.1,0,0
CRR710851,all mapped reads,OM451122.1,0,0
CRR710851,all mapped reads,OM451123.1,0,0
CRR710851,all mapped reads,MT114540.1,0,0
CRR710851,all mapped reads,MT114541.1,0,0
CRR710852,mapping quality filtered,OM451122.1,0,0
CRR710852,mapping quality filtered,OM451123.1,0,0
CRR710852,mapping quality filtered,MT114540.1,0,0
CRR710852,mapping quality filtered,MT114541.1,0,0
CRR710852,all mapped reads,OM451122.1,0,0
CRR710852,all mapped reads,OM451123.1,0,0
CRR710852,all mapped reads,MT114540.1,0,0
CRR710852,all mapped reads,MT114541.1,0,0
CRR710853,mapping quality filtered,OM451122.1,0,0
CRR710853,mapping quality filtered,OM451123.1,0,0
CRR710853,mapping quality filtered,MT114540.1,0,0
CRR710853,mapping quality filtered,MT114541.1,0,0
CRR710853,all mapped reads,OM451122.1,0,0
CRR710853,all mapped reads,OM451123.1,0,0
CRR710853,all mapped reads,MT114540.1,0,0
CRR710853,all mapped reads,MT114541.1,0,0
CRR710854,mapping quality filtered,OM451122.1,0,0
CRR710854,mapping quality filtered,OM451123.1,0,0
CRR710854,mapping quality filtered,MT114540.1,0,0
CRR710854,mapping quality filtered,MT114541.1,0,0
CRR710854,all mapped reads,OM451122.1,0,0
CRR710854,all mapped reads,OM451123.1,0,0
CRR710854,all mapped reads,MT114540.1,0,0
CRR710854,all mapped reads,MT114541.1,0,0
CRR710855,mapping quality filtered,OM451122.1,0,0
CRR710855,mapping quality filtered,OM451123.1,0,0
CRR710855,mapping quality filtered,MT114540.1,0,0
CRR710855,mapping quality filtered,MT114541.1,0,0
CRR710855,all mapped reads,OM451122.1,0,0
CRR710855,all mapped reads,OM451123.1,0,0
CRR710855,all mapped reads,MT114540.1,0,0
CRR710855,all mapped reads,MT114541.1,0,0
CRR710856,mapping quality filtered,OM451122.1,0,0
CRR710856,mapping quality filtered,OM451123.1,0,0
CRR710856,mapping quality filtered,MT114540.1,0,0
CRR710856,mapping quality filtered,MT114541.1,0,0
CRR710856,all mapped reads,OM451122.1,0,0
CRR710856,all mapped reads,OM451123.1,0,0
CRR710856,all mapped reads,MT114540.1,0,0
CRR710856,all mapped reads,MT114541.1,0,0
CRR710857,mapping quality filtered,OM451122.1,0,0
CRR710857,mapping quality filtered,OM451123.1,0,0
CRR710857,mapping quality filtered,MT114540.1,0,0
CRR710857,mapping quality filtered,MT114541.1,0,0
CRR710857,all mapped reads,OM451122.1,0,0
CRR710857,all mapped reads,OM451123.1,0,0
CRR710857,all mapped reads,MT114540.1,0,0
CRR710857,all mapped reads,MT114541.1,0,0
CRR710858,mapping quality filtered,OM451122.1,0,0
CRR710858,mapping quality filtered,OM451123.1,0,0
CRR710858,mapping quality filtered,MT114540.1,0,0
CRR710858,mapping quality filtered,MT114541.1,0,0
CRR710858,all mapped reads,OM451122.1,0,0
CRR710858,all mapped reads,OM451123.1,0,0
CRR710858,all mapped reads,MT114540.1,0,0
CRR710858,all mapped reads,MT114541.1,0,0
CRR710859,mapping quality filtered,OM451122.1,2,186
CRR710859,mapping quality filtered,OM451123.1,0,0
CRR710859,mapping quality filtered,MT114540.1,0,0
CRR710859,mapping quality filtered,MT114541.1,0,0
CRR710859,all mapped reads,OM451122.1,2,186
CRR710859,all mapped reads,OM451123.1,0,93
CRR710859,all mapped reads,MT114540.1,0,93
CRR710859,all mapped reads,MT114541.1,0,188
CRR710860,mapping quality filtered,OM451122.1,0,0
CRR710860,mapping quality filtered,OM451123.1,0,0
CRR710860,mapping quality filtered,MT114540.1,0,0
CRR710860,mapping quality filtered,MT114541.1,0,0
CRR710860,all mapped reads,OM451122.1,0,0
CRR710860,all mapped reads,OM451123.1,0,0
CRR710860,all mapped reads,MT114540.1,0,0
CRR710860,all mapped reads,MT114541.1,0,0
CRR710861,mapping quality filtered,OM451122.1,0,0
CRR710861,mapping quality filtered,OM451123.1,0,0
CRR710861,mapping quality filtered,MT114540.1,0,0
CRR710861,mapping quality filtered,MT114541.1,0,0
CRR710861,all mapped reads,OM451122.1,0,81
CRR710861,all mapped reads,OM451123.1,0,81
CRR710861,all mapped reads,MT114540.1,2,81
CRR710861,all mapped reads,MT114541.1,0,81
CRR710862,mapping quality filtered,OM451122.1,0,0
CRR710862,mapping quality filtered,OM451123.1,0,0
CRR710862,mapping quality filtered,MT114540.1,0,0
CRR710862,mapping quality filtered,MT114541.1,0,0
CRR710862,all mapped reads,OM451122.1,0,0
CRR710862,all mapped reads,OM451123.1,0,0
CRR710862,all mapped reads,MT114540.1,0,0
CRR710862,all mapped reads,MT114541.1,0,0
CRR710863,mapping quality filtered,OM451122.1,0,0
CRR710863,mapping quality filtered,OM451123.1,0,0
CRR710863,mapping quality filtered,MT114540.1,2,181
CRR710863,mapping quality filtered,MT114541.1,0,0
CRR710863,all mapped reads,OM451122.1,0,0
CRR710863,all mapped reads,OM451123.1,0,0
CRR710863,all mapped reads,MT114540.1,2,181
CRR710863,all mapped reads,MT114541.1,0,88
CRR710864,mapping quality filtered,OM451122.1,0,0
CRR710864,mapping quality filtered,OM451123.1,0,0
CRR710864,mapping quality filtered,MT114540.1,0,0
CRR710864,mapping quality filtered,MT114541.1,0,0
CRR710864,all mapped reads,OM451122.1,0,0
CRR710864,all mapped reads,OM451123.1,0,0
CRR710864,all mapped reads,MT114540.1,0,0
CRR710864,all mapped reads,MT114541.1,0,0
CRR710865,mapping quality filtered,OM451122.1,0,0
CRR710865,mapping quality filtered,OM451123.1,0,0
CRR710865,mapping quality filtered,MT114540.1,0,0
CRR710865,mapping quality filtered,MT114541.1,0,0
CRR710865,all mapped reads,OM451122.1,0,0
CRR710865,all mapped reads,OM451123.1,0,0
CRR710865,all mapped reads,MT114540.1,0,0
CRR710865,all mapped reads,MT114541.1,0,0
CRR710866,mapping quality filtered,OM451122.1,0,0
CRR710866,mapping quality filtered,OM451123.1,0,0
CRR710866,mapping quality filtered,MT114540.1,0,0
CRR710866,mapping quality filtered,MT114541.1,0,0
CRR710866,all mapped reads,OM451122.1,0,0
CRR710866,all mapped reads,OM451123.1,0,0
CRR710866,all mapped reads,MT114540.1,0,0
CRR710866,all mapped reads,MT114541.1,0,0
CRR710867,mapping quality filtered,OM451122.1,0,0
CRR710867,mapping quality filtered,OM451123.1,0,0
CRR710867,mapping quality filtered,MT114540.1,0,0
CRR710867,mapping quality filtered,MT114541.1,0,0
CRR710867,all mapped reads,OM451122.1,0,0
CRR710867,all mapped reads,OM451123.1,0,0
CRR710867,all mapped reads,MT114540.1,0,0
CRR710867,all mapped reads,MT114541.1,0,0
CRR710868,mapping quality filtered,OM451122.1,0,0
CRR710868,mapping quality filtered,OM451123.1,0,0
CRR710868,mapping quality filtered,MT114540.1,1,93
CRR710868,mapping quality filtered,MT114541.1,0,0
CRR710868,all mapped reads,OM451122.1,2,280
CRR710868,all mapped reads,OM451123.1,0,93
CRR710868,all mapped reads,MT114540.1,1,187
CRR710868,all mapped reads,MT114541.1,0,186
CRR710869,mapping quality filtered,OM451122.1,0,0
CRR710869,mapping quality filtered,OM451123.1,0,0
CRR710869,mapping quality filtered,MT114540.1,0,0
CRR710869,mapping quality filtered,MT114541.1,0,0
CRR710869,all mapped reads,OM451122.1,0,189
CRR710869,all mapped reads,OM451123.1,0,189
CRR710869,all mapped reads,MT114540.1,2,189
CRR710869,all mapped reads,MT114541.1,0,189
CRR710870,mapping quality filtered,OM451122.1,0,0
CRR710870,mapping quality filtered,OM451123.1,0,0
CRR710870,mapping quality filtered,MT114540.1,2,187
CRR710870,mapping quality filtered,MT114541.1,2,186
CRR710870,all mapped reads,OM451122.1,0,93
CRR710870,all mapped reads,OM451123.1,0,188
CRR710870,all mapped reads,MT114540.1,2,753
CRR710870,all mapped reads,MT114541.1,6,697
CRR710871,mapping quality filtered,OM451122.1,0,0
CRR710871,mapping quality filtered,OM451123.1,0,0
CRR710871,mapping quality filtered,MT114540.1,0,0
CRR710871,mapping quality filtered,MT114541.1,0,0
CRR710871,all mapped reads,OM451122.1,0,0
CRR710871,all mapped reads,OM451123.1,0,0
CRR710871,all mapped reads,MT114540.1,0,0
CRR710871,all mapped reads,MT114541.1,0,0
CRR710872,mapping quality filtered,OM451122.1,0,0
CRR710872,mapping quality filtered,OM451123.1,0,0
CRR710872,mapping quality filtered,MT114540.1,0,0
CRR710872,mapping quality filtered,MT114541.1,0,0
CRR710872,all mapped reads,OM451122.1,0,0
CRR710872,all mapped reads,OM451123.1,0,0
CRR710872,all mapped reads,MT114540.1,0,0
CRR710872,all mapped reads,MT114541.1,0,0
CRR710873,mapping quality filtered,OM451122.1,0,0
CRR710873,mapping quality filtered,OM451123.1,0,0
CRR710873,mapping quality filtered,MT114540.1,0,0
CRR710873,mapping quality filtered,MT114541.1,0,0
CRR710873,all mapped reads,OM451122.1,0,0
CRR710873,all mapped reads,OM451123.1,0,0
CRR710873,all mapped reads,MT114540.1,0,0
CRR710873,all mapped reads,MT114541.1,0,0
CRR710874,mapping quality filtered,OM451122.1,0,0
CRR710874,mapping quality filtered,OM451123.1,0,0
CRR710874,mapping quality filtered,MT114540.1,0,0
CRR710874,mapping quality filtered,MT114541.1,0,0
CRR710874,all mapped reads,OM451122.1,0,0
CRR710874,all mapped reads,OM451123.1,0,0
CRR710874,all mapped reads,MT114540.1,0,0
CRR710874,all mapped reads,MT114541.1,0,0
CRR710875,mapping quality filtered,OM451122.1,0,0
CRR710875,mapping quality filtered,OM451123.1,0,0
CRR710875,mapping quality filtered,MT114540.1,0,0
CRR710875,mapping quality filtered,MT114541.1,0,0
CRR710875,all mapped reads,OM451122.1,0,0
CRR710875,all mapped reads,OM451123.1,0,0
CRR710875,all mapped reads,MT114540.1,0,0
CRR710875,all mapped reads,MT114541.1,0,0
CRR710876,mapping quality filtered,OM451122.1,0,0
CRR710876,mapping quality filtered,OM451123.1,0,0
CRR710876,mapping quality filtered,MT114540.1,0,0
CRR710876,mapping quality filtered,MT114541.1,0,0
CRR710876,all mapped reads,OM451122.1,0,0
CRR710876,all mapped reads,OM451123.1,0,0
CRR710876,all mapped reads,MT114540.1,0,0
CRR710876,all mapped reads,MT114541.1,0,0
CRR710877,mapping quality filtered,OM451122.1,0,0
CRR710877,mapping quality filtered,OM451123.1,0,0
CRR710877,mapping quality filtered,MT114540.1,0,0
CRR710877,mapping quality filtered,MT114541.1,0,0
CRR710877,all mapped reads,OM451122.1,0,0
CRR710877,all mapped reads,OM451123.1,0,0
CRR710877,all mapped reads,MT114540.1,0,0
CRR710877,all mapped reads,MT114541.1,0,0
CRR710878,mapping quality filtered,OM451122.1,0,0
CRR710878,mapping quality filtered,OM451123.1,0,0
CRR710878,mapping quality filtered,MT114540.1,0,0
CRR710878,mapping quality filtered,MT114541.1,0,0
CRR710878,all mapped reads,OM451122.1,0,0
CRR710878,all mapped reads,OM451123.1,0,0
CRR710878,all mapped reads,MT114540.1,0,0
CRR710878,all mapped reads,MT114541.1,0,0
CRR710879,mapping quality filtered,OM451122.1,0,0
CRR710879,mapping quality filtered,OM451123.1,0,0
CRR710879,mapping quality filtered,MT114540.1,0,0
CRR710879,mapping quality filtered,MT114541.1,0,0
CRR710879,all mapped reads,OM451122.1,0,0
CRR710879,all mapped reads,OM451123.1,0,0
CRR710879,all mapped reads,MT114540.1,0,0
CRR710879,all mapped reads,MT114541.1,0,0
CRR710880,mapping quality filtered,OM451122.1,0,0
CRR710880,mapping quality filtered,OM451123.1,0,0
CRR710880,mapping quality filtered,MT114540.1,0,0
CRR710880,mapping quality filtered,MT114541.1,0,0
CRR710880,all mapped reads,OM451122.1,0,0
CRR710880,all mapped reads,OM451123.1,0,0
CRR710880,all mapped reads,MT114540.1,0,0
CRR710880,all mapped reads,MT114541.1,0,0
CRR710881,mapping quality filtered,OM451122.1,0,0
CRR710881,mapping quality filtered,OM451123.1,0,0
CRR710881,mapping quality filtered,MT114540.1,0,0
CRR710881,mapping quality filtered,MT114541.1,0,0
CRR710881,all mapped reads,OM451122.1,0,0
CRR710881,all mapped reads,OM451123.1,0,0
CRR710881,all mapped reads,MT114540.1,0,0
CRR710881,all mapped reads,MT114541.1,0,0
CRR710882,mapping quality filtered,OM451122.1,0,0
CRR710882,mapping quality filtered,OM451123.1,0,0
CRR710882,mapping quality filtered,MT114540.1,0,0
CRR710882,mapping quality filtered,MT114541.1,0,0
CRR710882,all mapped reads,OM451122.1,0,0
CRR710882,all mapped reads,OM451123.1,0,0
CRR710882,all mapped reads,MT114540.1,0,0
CRR710882,all mapped reads,MT114541.1,0,0
CRR710883,mapping quality filtered,OM451122.1,0,0
CRR710883,mapping quality filtered,OM451123.1,0,0
CRR710883,mapping quality filtered,MT114540.1,0,0
CRR710883,mapping quality filtered,MT114541.1,0,0
CRR710883,all mapped reads,OM451122.1,0,0
CRR710883,all mapped reads,OM451123.1,0,0
CRR710883,all mapped reads,MT114540.1,0,0
CRR710883,all mapped reads,MT114541.1,0,0
CRR710884,mapping quality filtered,OM451122.1,0,0
CRR710884,mapping quality filtered,OM451123.1,0,0
CRR710884,mapping quality filtered,MT114540.1,0,0
CRR710884,mapping quality filtered,MT114541.1,0,0
CRR710884,all mapped reads,OM451122.1,0,0
CRR710884,all mapped reads,OM451123.1,0,0
CRR710884,all mapped reads,MT114540.1,0,0
CRR710884,all mapped reads,MT114541.1,0,0
CRR710885,mapping quality filtered,OM451122.1,0,0
CRR710885,mapping quality filtered,OM451123.1,0,0
CRR710885,mapping quality filtered,MT114540.1,0,0
CRR710885,mapping quality filtered,MT114541.1,0,0
CRR710885,all mapped reads,OM451122.1,0,0
CRR710885,all mapped reads,OM451123.1,0,0
CRR710885,all mapped reads,MT114540.1,0,0
CRR710885,all mapped reads,MT114541.1,0,0
CRR710886,mapping quality filtered,OM451122.1,0,0
CRR710886,mapping quality filtered,OM451123.1,0,0
CRR710886,mapping quality filtered,MT114540.1,0,0
CRR710886,mapping quality filtered,MT114541.1,0,0
CRR710886,all mapped reads,OM451122.1,0,0
CRR710886,all mapped reads,OM451123.1,0,0
CRR710886,all mapped reads,MT114540.1,0,0
CRR710886,all mapped reads,MT114541.1,0,0
CRR710887,mapping quality filtered,OM451122.1,0,0
CRR710887,mapping quality filtered,OM451123.1,0,0
CRR710887,mapping quality filtered,MT114540.1,0,0
CRR710887,mapping quality filtered,MT114541.1,0,0
CRR710887,all mapped reads,OM451122.1,0,0
CRR710887,all mapped reads,OM451123.1,0,0
CRR710887,all mapped reads,MT114540.1,0,0
CRR710887,all mapped reads,MT114541.1,0,0
CRR710888,mapping quality filtered,OM451122.1,0,0
CRR710888,mapping quality filtered,OM451123.1,0,0
CRR710888,mapping quality filtered,MT114540.1,0,0
CRR710888,mapping quality filtered,MT114541.1,0,0
CRR710888,all mapped reads,OM451122.1,0,0
CRR710888,all mapped reads,OM451123.1,0,0
CRR710888,all mapped reads,MT114540.1,0,0
CRR710888,all mapped reads,MT114541.1,0,0
CRR710889,mapping quality filtered,OM451122.1,0,0
CRR710889,mapping quality filtered,OM451123.1,0,0
CRR710889,mapping quality filtered,MT114540.1,0,0
CRR710889,mapping quality filtered,MT114541.1,0,0
CRR710889,all mapped reads,OM451122.1,0,0
CRR710889,all mapped reads,OM451123.1,0,0
CRR710889,all mapped reads,MT114540.1,0,0
CRR710889,all mapped reads,MT114541.1,0,0
CRR710890,mapping quality filtered,OM451122.1,0,0
CRR710890,mapping quality filtered,OM451123.1,0,0
CRR710890,mapping quality filtered,MT114540.1,0,0
CRR710890,mapping quality filtered,MT114541.1,0,0
CRR710890,all mapped reads,OM451122.1,0,0
CRR710890,all mapped reads,OM451123.1,0,64
CRR710890,all mapped reads,MT114540.1,1,93
CRR710890,all mapped reads,MT114541.1,0,93
CRR710891,mapping quality filtered,OM451122.1,0,0
CRR710891,mapping quality filtered,OM451123.1,0,0
CRR710891,mapping quality filtered,MT114540.1,0,0
CRR710891,mapping quality filtered,MT114541.1,0,0
CRR710891,all mapped reads,OM451122.1,0,0
CRR710891,all mapped reads,OM451123.1,0,0
CRR710891,all mapped reads,MT114540.1,0,0
CRR710891,all mapped reads,MT114541.1,0,0
CRR710892,mapping quality filtered,OM451122.1,0,0
CRR710892,mapping quality filtered,OM451123.1,0,0
CRR710892,mapping quality filtered,MT114540.1,0,0
CRR710892,mapping quality filtered,MT114541.1,0,0
CRR710892,all mapped reads,OM451122.1,0,0
CRR710892,all mapped reads,OM451123.1,0,76
CRR710892,all mapped reads,MT114540.1,0,76
CRR710892,all mapped reads,MT114541.1,2,76
CRR710893,mapping quality filtered,OM451122.1,0,0
CRR710893,mapping quality filtered,OM451123.1,0,0
CRR710893,mapping quality filtered,MT114540.1,0,0
